[2021-04-30T09:22:49.152+0300][0.002s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2021-04-30T09:22:49.168+0300][0.017s][info][gc] Using Shenandoah
[2021-04-30T09:22:52.221+0300][3,071s][info][gc] GC(17) Pause Final Update Refs 0,111ms
[2021-04-30T09:22:52.222+0300][3,071s][info][gc] GC(17) Concurrent cleanup 114M->29M(128M) 0,065ms
[2021-04-30T09:22:52.394+0300][3,244s][info][gc] Trigger: Free (13056K) is below minimum threshold (13107K)
[2021-04-30T09:22:52.394+0300][3,244s][info][gc] GC(18) Concurrent reset 0,154ms
[2021-04-30T09:22:52.396+0300][3,245s][info][gc] GC(18) Pause Init Mark 0,855ms
[2021-04-30T09:22:52.404+0300][3,253s][info][gc] GC(18) Concurrent marking 7,648ms
[2021-04-30T09:22:52.404+0300][3,254s][info][gc] GC(18) Pause Final Mark 0,538ms
[2021-04-30T09:22:52.404+0300][3,254s][info][gc] GC(18) Concurrent cleanup 109M->109M(128M) 0,041ms
[2021-04-30T09:22:52.406+0300][3,255s][info][gc] GC(18) Concurrent evacuation 1,229ms
[2021-04-30T09:22:52.406+0300][3,255s][info][gc] GC(18) Pause Init Update Refs 0,005ms
[2021-04-30T09:22:52.411+0300][3,261s][info][gc] GC(18) Concurrent update references 5,539ms
[2021-04-30T09:22:52.412+0300][3,262s][info][gc] GC(18) Pause Final Update Refs 0,063ms
[2021-04-30T09:22:52.412+0300][3,262s][info][gc] GC(18) Concurrent cleanup 112M->28M(128M) 0,066ms
[2021-04-30T09:22:52.592+0300][3,442s][info][gc] Trigger: Free (13056K) is below minimum threshold (13107K)
[2021-04-30T09:22:52.593+0300][3,442s][info][gc] GC(19) Concurrent reset 0,536ms
[2021-04-30T09:22:52.594+0300][3,443s][info][gc] GC(19) Pause Init Mark 0,477ms
[2021-04-30T09:22:52.602+0300][3,451s][info][gc] GC(19) Concurrent marking 8,284ms
[2021-04-30T09:22:52.602+0300][3,452s][info][gc] GC(19) Pause Final Mark 0,337ms
[2021-04-30T09:22:52.603+0300][3,452s][info][gc] GC(19) Concurrent cleanup 110M->110M(128M) 0,037ms
[2021-04-30T09:22:52.604+0300][3,453s][info][gc] GC(19) Concurrent evacuation 0,942ms
[2021-04-30T09:22:52.604+0300][3,453s][info][gc] GC(19) Pause Init Update Refs 0,006ms
[2021-04-30T09:22:52.609+0300][3,458s][info][gc] GC(19) Concurrent update references 5,195ms
[2021-04-30T09:22:52.609+0300][3,459s][info][gc] GC(19) Pause Final Update Refs 0,065ms
[2021-04-30T09:22:52.609+0300][3,459s][info][gc] GC(19) Concurrent cleanup 112M->30M(128M) 0,060ms
[2021-04-30T09:22:52.763+0300][3,613s][info][gc] Trigger: Average GC time (16,79 ms) is above the time for allocation rate (463 MB/s) to deplete free headroom (7526K)
[2021-04-30T09:22:52.764+0300][3,613s][info][gc] GC(20) Concurrent reset 0,207ms
[2021-04-30T09:22:52.764+0300][3,614s][info][gc] GC(20) Pause Init Mark (process weakrefs) 0,230ms
[2021-04-30T09:22:52.771+0300][3,620s][info][gc] GC(20) Concurrent marking (process weakrefs) 6,435ms
[2021-04-30T09:22:52.771+0300][3,620s][info][gc] GC(20) Concurrent precleaning 0,184ms
[2021-04-30T09:22:52.771+0300][3,621s][info][gc] GC(20) Pause Final Mark (process weakrefs) 0,589ms
[2021-04-30T09:22:52.772+0300][3,621s][info][gc] GC(20) Concurrent cleanup 109M->109M(128M) 0,040ms
[2021-04-30T09:22:52.773+0300][3,622s][info][gc] GC(20) Concurrent evacuation 0,862ms
[2021-04-30T09:22:52.773+0300][3,622s][info][gc] GC(20) Pause Init Update Refs 0,006ms
[2021-04-30T09:22:52.777+0300][3,626s][info][gc] GC(20) Concurrent update references 4,195ms
[2021-04-30T09:22:52.777+0300][3,627s][info][gc] GC(20) Pause Final Update Refs 0,087ms
